state,district,month,monthly_enrolments,monthly_load,estimated_update_requests
Andaman and Nicobar Islands,North And Middle Andaman,2025-06,3,3,1
Andaman and Nicobar Islands,North And Middle Andaman,2025-07,1,1,0
Andaman and Nicobar Islands,North And Middle Andaman,2025-08,5,5,2
Andaman and Nicobar Islands,North And Middle Andaman,2025-09,8,8,3
Andaman and Nicobar Islands,North And Middle Andaman,2025-10,6,6,2
Andaman and Nicobar Islands,North And Middle Andaman,2025-11,5,5,2
Andaman and Nicobar Islands,North And Middle Andaman,2025-12,3,3,1
Andaman and Nicobar Islands,South Andaman,2025-01,8,8,3
Andaman and Nicobar Islands,South Andaman,2025-02,2,2,1
Andaman and Nicobar Islands,South Andaman,2025-03,4,4,1
Andaman and Nicobar Islands,South Andaman,2025-04,5,5,2
Andaman and Nicobar Islands,South Andaman,2025-05,6,6,2
Andaman and Nicobar Islands,South Andaman,2025-07,3,3,1
Andaman and Nicobar Islands,South Andaman,2025-08,12,12,4
Andaman and Nicobar Islands,South Andaman,2025-09,3,3,1
Andaman and Nicobar Islands,South Andaman,2025-10,5,5,2
Andaman and Nicobar Islands,South Andaman,2025-11,5,5,2
Andaman and Nicobar Islands,South Andaman,2025-12,3,3,1
Andhra Pradesh,Adilabad,2025-01,50,50,18
Andhra Pradesh,Adilabad,2025-02,90,90,31
Andhra Pradesh,Adilabad,2025-03,61,61,21
Andhra Pradesh,Adilabad,2025-04,33,33,12
Andhra Pradesh,Adilabad,2025-05,33,33,12
Andhra Pradesh,Adilabad,2025-06,43,43,15
Andhra Pradesh,Adilabad,2025-07,17,17,6
Andhra Pradesh,Adilabad,2025-08,70,70,24
Andhra Pradesh,Adilabad,2025-09,42,42,15
Andhra Pradesh,Adilabad,2025-10,56,56,20
Andhra Pradesh,Adilabad,2025-11,41,41,14
Andhra Pradesh,Adilabad,2025-12,42,42,15
Andhra Pradesh,Alluri Sitharama Raju,2025-01,15,15,5
Andhra Pradesh,Alluri Sitharama Raju,2025-02,32,32,11
Andhra Pradesh,Alluri Sitharama Raju,2025-03,30,30,10
Andhra Pradesh,Alluri Sitharama Raju,2025-04,11,11,4
Andhra Pradesh,Alluri Sitharama Raju,2025-05,47,47,16
Andhra Pradesh,Alluri Sitharama Raju,2025-06,28,28,10
Andhra Pradesh,Alluri Sitharama Raju,2025-07,29,29,10
Andhra Pradesh,Alluri Sitharama Raju,2025-08,32,32,11
Andhra Pradesh,Alluri Sitharama Raju,2025-09,26,26,9
Andhra Pradesh,Alluri Sitharama Raju,2025-10,37,37,13
Andhra Pradesh,Alluri Sitharama Raju,2025-11,34,34,12
Andhra Pradesh,Alluri Sitharama Raju,2025-12,37,37,13
Andhra Pradesh,Anakapalli,2025-01,13,13,5
Andhra Pradesh,Anakapalli,2025-02,16,16,6
Andhra Pradesh,Anakapalli,2025-03,18,18,6
Andhra Pradesh,Anakapalli,2025-04,8,8,3
Andhra Pradesh,Anakapalli,2025-05,6,6,2
Andhra Pradesh,Anakapalli,2025-06,14,14,5
Andhra Pradesh,Anakapalli,2025-07,5,5,2
Andhra Pradesh,Anakapalli,2025-08,12,12,4
Andhra Pradesh,Anakapalli,2025-09,16,16,6
Andhra Pradesh,Anakapalli,2025-10,14,14,5
Andhra Pradesh,Anakapalli,2025-11,13,13,5
Andhra Pradesh,Anakapalli,2025-12,8,8,3
Andhra Pradesh,Anantapur,2025-01,104,104,36
Andhra Pradesh,Anantapur,2025-02,192,192,67
Andhra Pradesh,Anantapur,2025-03,141,141,49
Andhra Pradesh,Anantapur,2025-04,62,62,22
Andhra Pradesh,Anantapur,2025-05,109,109,38
Andhra Pradesh,Anantapur,2025-06,132,132,46
Andhra Pradesh,Anantapur,2025-07,72,72,25
Andhra Pradesh,Anantapur,2025-08,135,135,47
Andhra Pradesh,Anantapur,2025-09,101,101,35
Andhra Pradesh,Anantapur,2025-10,96,96,34
Andhra Pradesh,Anantapur,2025-11,125,125,44
Andhra Pradesh,Anantapur,2025-12,115,115,40
Andhra Pradesh,Ananthapur,2025-01,36,36,13
Andhra Pradesh,Ananthapur,2025-02,66,66,23
Andhra Pradesh,Ananthapur,2025-03,40,40,14
Andhra Pradesh,Ananthapur,2025-04,20,20,7
Andhra Pradesh,Ananthapur,2025-05,46,46,16
Andhra Pradesh,Ananthapur,2025-06,55,55,19
Andhra Pradesh,Ananthapur,2025-07,28,28,10
Andhra Pradesh,Ananthapur,2025-08,51,51,18
Andhra Pradesh,Ananthapur,2025-09,50,50,18
Andhra Pradesh,Ananthapur,2025-10,42,42,15
Andhra Pradesh,Ananthapur,2025-11,40,40,14
Andhra Pradesh,Ananthapur,2025-12,54,54,19
Andhra Pradesh,Ananthapuramu,2025-01,57,57,20
Andhra Pradesh,Ananthapuramu,2025-02,110,110,38
Andhra Pradesh,Ananthapuramu,2025-03,102,102,36
Andhra Pradesh,Ananthapuramu,2025-04,48,48,17
Andhra Pradesh,Ananthapuramu,2025-05,81,81,28
Andhra Pradesh,Ananthapuramu,2025-06,72,72,25
Andhra Pradesh,Ananthapuramu,2025-07,40,40,14
Andhra Pradesh,Ananthapuramu,2025-08,89,89,31
Andhra Pradesh,Ananthapuramu,2025-09,57,57,20
Andhra Pradesh,Ananthapuramu,2025-10,73,73,26
Andhra Pradesh,Ananthapuramu,2025-11,68,68,24
Andhra Pradesh,Ananthapuramu,2025-12,77,77,27
Andhra Pradesh,Annamayya,2025-01,12,12,4
Andhra Pradesh,Annamayya,2025-02,47,47,16
Andhra Pradesh,Annamayya,2025-03,20,20,7
Andhra Pradesh,Annamayya,2025-04,22,22,8
Andhra Pradesh,Annamayya,2025-05,41,41,14
Andhra Pradesh,Annamayya,2025-06,21,21,7
Andhra Pradesh,Annamayya,2025-07,12,12,4
Andhra Pradesh,Annamayya,2025-08,27,27,9
Andhra Pradesh,Annamayya,2025-09,29,29,10
Andhra Pradesh,Annamayya,2025-10,34,34,12
Andhra Pradesh,Annamayya,2025-11,21,21,7
Andhra Pradesh,Annamayya,2025-12,30,30,10
Andhra Pradesh,Bapatla,2025-01,10,10,4
Andhra Pradesh,Bapatla,2025-02,19,19,7
Andhra Pradesh,Bapatla,2025-03,12,12,4
Andhra Pradesh,Bapatla,2025-04,4,4,1
Andhra Pradesh,Bapatla,2025-05,14,14,5
Andhra Pradesh,Bapatla,2025-06,9,9,3
Andhra Pradesh,Bapatla,2025-07,8,8,3
Andhra Pradesh,Bapatla,2025-08,12,12,4
Andhra Pradesh,Bapatla,2025-09,17,17,6
Andhra Pradesh,Bapatla,2025-10,14,14,5
Andhra Pradesh,Bapatla,2025-11,14,14,5
Andhra Pradesh,Bapatla,2025-12,7,7,2
Andhra Pradesh,Chittoor,2025-01,163,163,57
Andhra Pradesh,Chittoor,2025-02,338,338,118
Andhra Pradesh,Chittoor,2025-03,234,234,82
Andhra Pradesh,Chittoor,2025-04,111,111,39
Andhra Pradesh,Chittoor,2025-05,227,227,79
Andhra Pradesh,Chittoor,2025-06,206,206,72
Andhra Pradesh,Chittoor,2025-07,74,74,26
Andhra Pradesh,Chittoor,2025-08,254,254,89
Andhra Pradesh,Chittoor,2025-09,196,196,69
Andhra Pradesh,Chittoor,2025-10,267,267,93
Andhra Pradesh,Chittoor,2025-11,228,228,80
Andhra Pradesh,Chittoor,2025-12,200,200,70
Andhra Pradesh,Cuddapah,2025-01,135,135,47
Andhra Pradesh,Cuddapah,2025-02,276,276,97
Andhra Pradesh,Cuddapah,2025-03,169,169,59
Andhra Pradesh,Cuddapah,2025-04,90,90,31
Andhra Pradesh,Cuddapah,2025-05,168,168,59
Andhra Pradesh,Cuddapah,2025-06,178,178,62
Andhra Pradesh,Cuddapah,2025-07,64,64,22
Andhra Pradesh,Cuddapah,2025-08,179,179,63
Andhra Pradesh,Cuddapah,2025-09,153,153,54
Andhra Pradesh,Cuddapah,2025-10,175,175,61
Andhra Pradesh,Cuddapah,2025-11,144,144,50
Andhra Pradesh,Cuddapah,2025-12,116,116,41
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-01,12,12,4
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-02,28,28,10
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-03,19,19,7
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-04,4,4,1
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-05,16,16,6
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-06,18,18,6
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-07,9,9,3
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-08,22,22,8
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-09,22,22,8
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-10,24,24,8
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-11,14,14,5
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-12,20,20,7
Andhra Pradesh,East Godavari,2025-01,171,171,60
Andhra Pradesh,East Godavari,2025-02,351,351,123
Andhra Pradesh,East Godavari,2025-03,191,191,67
Andhra Pradesh,East Godavari,2025-04,115,115,40
Andhra Pradesh,East Godavari,2025-05,239,239,84
Andhra Pradesh,East Godavari,2025-06,197,197,69
Andhra Pradesh,East Godavari,2025-07,79,79,28
Andhra Pradesh,East Godavari,2025-08,242,242,85
Andhra Pradesh,East Godavari,2025-09,226,226,79
Andhra Pradesh,East Godavari,2025-10,258,258,90
Andhra Pradesh,East Godavari,2025-11,187,187,65
Andhra Pradesh,East Godavari,2025-12,181,181,63
Andhra Pradesh,Eluru,2025-01,6,6,2
Andhra Pradesh,Eluru,2025-02,28,28,10
Andhra Pradesh,Eluru,2025-03,13,13,5
Andhra Pradesh,Eluru,2025-04,9,9,3
Andhra Pradesh,Eluru,2025-05,11,11,4
Andhra Pradesh,Eluru,2025-06,23,23,8
Andhra Pradesh,Eluru,2025-07,11,11,4
Andhra Pradesh,Eluru,2025-08,16,16,6
Andhra Pradesh,Eluru,2025-09,18,18,6
Andhra Pradesh,Eluru,2025-10,28,28,10
Andhra Pradesh,Eluru,2025-11,29,29,10
Andhra Pradesh,Eluru,2025-12,12,12,4
Andhra Pradesh,Guntur,2025-01,187,187,65
Andhra Pradesh,Guntur,2025-02,386,386,135
Andhra Pradesh,Guntur,2025-03,197,197,69
Andhra Pradesh,Guntur,2025-04,122,122,43
Andhra Pradesh,Guntur,2025-05,272,272,95
Andhra Pradesh,Guntur,2025-06,255,255,89
Andhra Pradesh,Guntur,2025-07,128,128,45
Andhra Pradesh,Guntur,2025-08,288,288,101
Andhra Pradesh,Guntur,2025-09,198,198,69
Andhra Pradesh,Guntur,2025-10,314,314,110
Andhra Pradesh,Guntur,2025-11,230,230,80
Andhra Pradesh,Guntur,2025-12,220,220,77
Andhra Pradesh,Hyderabad,2025-01,139,139,49
Andhra Pradesh,Hyderabad,2025-02,230,230,80
Andhra Pradesh,Hyderabad,2025-03,137,137,48
Andhra Pradesh,Hyderabad,2025-04,86,86,30
Andhra Pradesh,Hyderabad,2025-05,76,76,27
Andhra Pradesh,Hyderabad,2025-06,65,65,23
Andhra Pradesh,Hyderabad,2025-07,67,67,23
Andhra Pradesh,Hyderabad,2025-08,146,146,51
Andhra Pradesh,Hyderabad,2025-09,148,148,52
Andhra Pradesh,Hyderabad,2025-10,162,162,57
Andhra Pradesh,Hyderabad,2025-11,172,172,60
Andhra Pradesh,Hyderabad,2025-12,120,120,42
Andhra Pradesh,K.V.Rangareddy,2025-01,2,2,1
Andhra Pradesh,K.V.Rangareddy,2025-02,2,2,1
Andhra Pradesh,K.V.Rangareddy,2025-03,2,2,1
Andhra Pradesh,K.V.Rangareddy,2025-04,1,1,0
Andhra Pradesh,K.V.Rangareddy,2025-05,5,5,2
Andhra Pradesh,K.V.Rangareddy,2025-06,2,2,1
Andhra Pradesh,K.V.Rangareddy,2025-07,1,1,0
Andhra Pradesh,K.V.Rangareddy,2025-08,4,4,1
Andhra Pradesh,K.V.Rangareddy,2025-09,2,2,1
Andhra Pradesh,K.V.Rangareddy,2025-10,1,1,0
Andhra Pradesh,K.V.Rangareddy,2025-11,1,1,0
Andhra Pradesh,K.V.Rangareddy,2025-12,3,3,1
Andhra Pradesh,K.v. Rangareddy,2025-01,1,1,0
Andhra Pradesh,K.v. Rangareddy,2025-04,1,1,0
Andhra Pradesh,K.v. Rangareddy,2025-07,1,1,0
Andhra Pradesh,Kakinada,2025-01,20,20,7
Andhra Pradesh,Kakinada,2025-02,34,34,12
Andhra Pradesh,Kakinada,2025-03,24,24,8
Andhra Pradesh,Kakinada,2025-04,11,11,4
Andhra Pradesh,Kakinada,2025-05,33,33,12
Andhra Pradesh,Kakinada,2025-06,20,20,7
Andhra Pradesh,Kakinada,2025-07,14,14,5
Andhra Pradesh,Kakinada,2025-08,30,30,10
Andhra Pradesh,Kakinada,2025-09,23,23,8
Andhra Pradesh,Kakinada,2025-10,35,35,12
Andhra Pradesh,Kakinada,2025-11,23,23,8
Andhra Pradesh,Kakinada,2025-12,26,26,9
Andhra Pradesh,Karim Nagar,2025-01,3,3,1
Andhra Pradesh,Karim Nagar,2025-02,3,3,1
Andhra Pradesh,Karim Nagar,2025-03,2,2,1
Andhra Pradesh,Karim Nagar,2025-04,3,3,1
Andhra Pradesh,Karim Nagar,2025-05,2,2,1
Andhra Pradesh,Karim Nagar,2025-06,3,3,1
Andhra Pradesh,Karim Nagar,2025-07,3,3,1
Andhra Pradesh,Karim Nagar,2025-08,2,2,1
Andhra Pradesh,Karim Nagar,2025-09,2,2,1
Andhra Pradesh,Karim Nagar,2025-10,1,1,0
Andhra Pradesh,Karim Nagar,2025-11,1,1,0
Andhra Pradesh,Karim Nagar,2025-12,3,3,1
Andhra Pradesh,Karimnagar,2025-01,20,20,7
Andhra Pradesh,Karimnagar,2025-02,29,29,10
Andhra Pradesh,Karimnagar,2025-03,22,22,8
Andhra Pradesh,Karimnagar,2025-04,19,19,7
Andhra Pradesh,Karimnagar,2025-05,11,11,4
Andhra Pradesh,Karimnagar,2025-06,15,15,5
Andhra Pradesh,Karimnagar,2025-07,11,11,4
Andhra Pradesh,Karimnagar,2025-08,33,33,12
Andhra Pradesh,Karimnagar,2025-09,23,23,8
Andhra Pradesh,Karimnagar,2025-10,25,25,9
Andhra Pradesh,Karimnagar,2025-11,25,25,9
Andhra Pradesh,Karimnagar,2025-12,25,25,9
Andhra Pradesh,Khammam,2025-01,48,48,17
Andhra Pradesh,Khammam,2025-02,54,54,19
Andhra Pradesh,Khammam,2025-03,36,36,13
Andhra Pradesh,Khammam,2025-04,30,30,10
Andhra Pradesh,Khammam,2025-05,14,14,5
Andhra Pradesh,Khammam,2025-06,34,34,12
Andhra Pradesh,Khammam,2025-07,17,17,6
Andhra Pradesh,Khammam,2025-08,47,47,16
Andhra Pradesh,Khammam,2025-09,40,40,14
Andhra Pradesh,Khammam,2025-10,47,47,16
Andhra Pradesh,Khammam,2025-11,46,46,16
Andhra Pradesh,Khammam,2025-12,41,41,14
Andhra Pradesh,Krishna,2025-01,133,133,47
Andhra Pradesh,Krishna,2025-02,345,345,121
Andhra Pradesh,Krishna,2025-03,175,175,61
Andhra Pradesh,Krishna,2025-04,106,106,37
Andhra Pradesh,Krishna,2025-05,168,168,59
Andhra Pradesh,Krishna,2025-06,188,188,66
Andhra Pradesh,Krishna,2025-07,91,91,32
Andhra Pradesh,Krishna,2025-08,236,236,83
Andhra Pradesh,Krishna,2025-09,211,211,74
Andhra Pradesh,Krishna,2025-10,211,211,74
Andhra Pradesh,Krishna,2025-11,179,179,63
Andhra Pradesh,Krishna,2025-12,167,167,58
Andhra Pradesh,Kurnool,2025-01,276,276,97
Andhra Pradesh,Kurnool,2025-02,493,493,173
Andhra Pradesh,Kurnool,2025-03,363,363,127
Andhra Pradesh,Kurnool,2025-04,182,182,64
Andhra Pradesh,Kurnool,2025-05,333,333,117
Andhra Pradesh,Kurnool,2025-06,323,323,113
Andhra Pradesh,Kurnool,2025-07,153,153,54
Andhra Pradesh,Kurnool,2025-08,375,375,131
Andhra Pradesh,Kurnool,2025-09,308,308,108
Andhra Pradesh,Kurnool,2025-10,303,303,106
Andhra Pradesh,Kurnool,2025-11,260,260,91
Andhra Pradesh,Kurnool,2025-12,287,287,100
Andhra Pradesh,Mahabub Nagar,2025-01,59,59,21
Andhra Pradesh,Mahabub Nagar,2025-02,68,68,24
Andhra Pradesh,Mahabub Nagar,2025-03,49,49,17
Andhra Pradesh,Mahabub Nagar,2025-04,35,35,12
Andhra Pradesh,Mahabub Nagar,2025-05,17,17,6
Andhra Pradesh,Mahabub Nagar,2025-06,41,41,14
Andhra Pradesh,Mahabub Nagar,2025-07,13,13,5
Andhra Pradesh,Mahabub Nagar,2025-08,60,60,21
Andhra Pradesh,Mahabub Nagar,2025-09,68,68,24
Andhra Pradesh,Mahabub Nagar,2025-10,59,59,21
Andhra Pradesh,Mahabub Nagar,2025-11,52,52,18
Andhra Pradesh,Mahabub Nagar,2025-12,43,43,15
Andhra Pradesh,Mahabubnagar,2025-03,1,1,0
Andhra Pradesh,Mahabubnagar,2025-11,1,1,0
Andhra Pradesh,Mahbubnagar,2025-01,26,26,9
Andhra Pradesh,Mahbubnagar,2025-02,39,39,14
Andhra Pradesh,Mahbubnagar,2025-03,18,18,6
Andhra Pradesh,Mahbubnagar,2025-04,23,23,8
Andhra Pradesh,Mahbubnagar,2025-05,8,8,3
Andhra Pradesh,Mahbubnagar,2025-06,23,23,8
Andhra Pradesh,Mahbubnagar,2025-07,5,5,2
Andhra Pradesh,Mahbubnagar,2025-08,30,30,10
Andhra Pradesh,Mahbubnagar,2025-09,17,17,6
Andhra Pradesh,Mahbubnagar,2025-10,33,33,12
Andhra Pradesh,Mahbubnagar,2025-11,21,21,7
Andhra Pradesh,Mahbubnagar,2025-12,17,17,6
Andhra Pradesh,Medak,2025-01,40,40,14
Andhra Pradesh,Medak,2025-02,89,89,31
Andhra Pradesh,Medak,2025-03,55,55,19
Andhra Pradesh,Medak,2025-04,27,27,9
Andhra Pradesh,Medak,2025-05,13,13,5
Andhra Pradesh,Medak,2025-06,39,39,14
Andhra Pradesh,Medak,2025-07,13,13,5
Andhra Pradesh,Medak,2025-08,62,62,22
Andhra Pradesh,Medak,2025-09,59,59,21
Andhra Pradesh,Medak,2025-10,48,48,17
Andhra Pradesh,Medak,2025-11,18,18,6
Andhra Pradesh,Medak,2025-12,42,42,15
Andhra Pradesh,N. T. R,2025-01,16,16,6
Andhra Pradesh,N. T. R,2025-02,38,38,13
Andhra Pradesh,N. T. R,2025-03,25,25,9
Andhra Pradesh,N. T. R,2025-04,15,15,5
Andhra Pradesh,N. T. R,2025-05,29,29,10
Andhra Pradesh,N. T. R,2025-06,22,22,8
Andhra Pradesh,N. T. R,2025-07,6,6,2
Andhra Pradesh,N. T. R,2025-08,19,19,7
Andhra Pradesh,N. T. R,2025-09,23,23,8
Andhra Pradesh,N. T. R,2025-10,21,21,7
Andhra Pradesh,N. T. R,2025-11,36,36,13
Andhra Pradesh,N. T. R,2025-12,32,32,11
Andhra Pradesh,Nalgonda,2025-01,38,38,13
Andhra Pradesh,Nalgonda,2025-02,52,52,18
Andhra Pradesh,Nalgonda,2025-03,50,50,18
Andhra Pradesh,Nalgonda,2025-04,28,28,10
Andhra Pradesh,Nalgonda,2025-05,23,23,8
Andhra Pradesh,Nalgonda,2025-06,36,36,13
Andhra Pradesh,Nalgonda,2025-07,18,18,6
Andhra Pradesh,Nalgonda,2025-08,46,46,16
Andhra Pradesh,Nalgonda,2025-09,36,36,13
Andhra Pradesh,Nalgonda,2025-10,39,39,14
Andhra Pradesh,Nalgonda,2025-11,25,25,9
Andhra Pradesh,Nalgonda,2025-12,51,51,18
Andhra Pradesh,Nandyal,2025-01,22,22,8
Andhra Pradesh,Nandyal,2025-02,40,40,14
Andhra Pradesh,Nandyal,2025-03,23,23,8
Andhra Pradesh,Nandyal,2025-04,6,6,2
Andhra Pradesh,Nandyal,2025-05,34,34,12
Andhra Pradesh,Nandyal,2025-06,31,31,11
Andhra Pradesh,Nandyal,2025-07,22,22,8
Andhra Pradesh,Nandyal,2025-08,27,27,9
Andhra Pradesh,Nandyal,2025-09,16,16,6
Andhra Pradesh,Nandyal,2025-10,26,26,9
Andhra Pradesh,Nandyal,2025-11,14,14,5
Andhra Pradesh,Nandyal,2025-12,16,16,6
Andhra Pradesh,Nellore,2025-01,149,149,52
Andhra Pradesh,Nellore,2025-02,279,279,98
Andhra Pradesh,Nellore,2025-03,160,160,56
Andhra Pradesh,Nellore,2025-04,80,80,28
Andhra Pradesh,Nellore,2025-05,152,152,53
Andhra Pradesh,Nellore,2025-06,164,164,57
Andhra Pradesh,Nellore,2025-07,91,91,32
Andhra Pradesh,Nellore,2025-08,146,146,51
Andhra Pradesh,Nellore,2025-09,128,128,45
Andhra Pradesh,Nellore,2025-10,137,137,48
Andhra Pradesh,Nellore,2025-11,124,124,43
Andhra Pradesh,Nellore,2025-12,135,135,47
Andhra Pradesh,Nizamabad,2025-01,13,13,5
Andhra Pradesh,Nizamabad,2025-02,21,21,7
Andhra Pradesh,Nizamabad,2025-03,18,18,6
Andhra Pradesh,Nizamabad,2025-04,12,12,4
Andhra Pradesh,Nizamabad,2025-05,9,9,3
Andhra Pradesh,Nizamabad,2025-06,15,15,5
Andhra Pradesh,Nizamabad,2025-07,8,8,3
Andhra Pradesh,Nizamabad,2025-08,21,21,7
Andhra Pradesh,Nizamabad,2025-09,13,13,5
Andhra Pradesh,Nizamabad,2025-10,14,14,5
Andhra Pradesh,Nizamabad,2025-11,21,21,7
Andhra Pradesh,Nizamabad,2025-12,16,16,6
Andhra Pradesh,Palnadu,2025-01,21,21,7
Andhra Pradesh,Palnadu,2025-02,29,29,10
Andhra Pradesh,Palnadu,2025-03,18,18,6
Andhra Pradesh,Palnadu,2025-04,10,10,4
Andhra Pradesh,Palnadu,2025-05,32,32,11
Andhra Pradesh,Palnadu,2025-06,32,32,11
Andhra Pradesh,Palnadu,2025-07,9,9,3
Andhra Pradesh,Palnadu,2025-08,22,22,8
Andhra Pradesh,Palnadu,2025-09,20,20,7
Andhra Pradesh,Palnadu,2025-10,25,25,9
Andhra Pradesh,Palnadu,2025-11,21,21,7
Andhra Pradesh,Palnadu,2025-12,8,8,3
Andhra Pradesh,Parvathipuram Manyam,2025-01,8,8,3
Andhra Pradesh,Parvathipuram Manyam,2025-02,24,24,8
Andhra Pradesh,Parvathipuram Manyam,2025-03,18,18,6
Andhra Pradesh,Parvathipuram Manyam,2025-04,5,5,2
Andhra Pradesh,Parvathipuram Manyam,2025-05,19,19,7
Andhra Pradesh,Parvathipuram Manyam,2025-06,15,15,5
Andhra Pradesh,Parvathipuram Manyam,2025-07,6,6,2
Andhra Pradesh,Parvathipuram Manyam,2025-08,14,14,5
Andhra Pradesh,Parvathipuram Manyam,2025-09,12,12,4
Andhra Pradesh,Parvathipuram Manyam,2025-10,18,18,6
Andhra Pradesh,Parvathipuram Manyam,2025-11,8,8,3
Andhra Pradesh,Parvathipuram Manyam,2025-12,10,10,4
Andhra Pradesh,Prakasam,2025-01,416,416,146
Andhra Pradesh,Prakasam,2025-02,339,339,119
Andhra Pradesh,Prakasam,2025-03,234,234,82
Andhra Pradesh,Prakasam,2025-04,120,120,42
Andhra Pradesh,Prakasam,2025-05,244,244,85
Andhra Pradesh,Prakasam,2025-06,226,226,79
Andhra Pradesh,Prakasam,2025-07,70,70,24
Andhra Pradesh,Prakasam,2025-08,246,246,86
Andhra Pradesh,Prakasam,2025-09,207,207,72
Andhra Pradesh,Prakasam,2025-10,232,232,81
Andhra Pradesh,Prakasam,2025-11,214,214,75
Andhra Pradesh,Prakasam,2025-12,227,227,79
Andhra Pradesh,Rangareddi,2025-01,53,53,19
Andhra Pradesh,Rangareddi,2025-02,95,95,33
Andhra Pradesh,Rangareddi,2025-03,57,57,20
Andhra Pradesh,Rangareddi,2025-04,41,41,14
Andhra Pradesh,Rangareddi,2025-05,52,52,18
Andhra Pradesh,Rangareddi,2025-06,29,29,10
Andhra Pradesh,Rangareddi,2025-07,24,24,8
Andhra Pradesh,Rangareddi,2025-08,56,56,20
Andhra Pradesh,Rangareddi,2025-09,57,57,20
Andhra Pradesh,Rangareddi,2025-10,58,58,20
Andhra Pradesh,Rangareddi,2025-11,55,55,19
Andhra Pradesh,Rangareddi,2025-12,59,59,21
Andhra Pradesh,Spsr Nellore,2025-01,2067,2067,723
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-01,51,51,18
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-02,54,54,19
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-03,52,52,18
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-04,35,35,12
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-05,61,61,21
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-06,71,71,25
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-07,49,49,17
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-08,35,35,12
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-09,39,39,14
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-10,44,44,15
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-11,39,39,14
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-12,42,42,15
Andhra Pradesh,Sri Sathya Sai,2025-01,16,16,6
Andhra Pradesh,Sri Sathya Sai,2025-02,28,28,10
Andhra Pradesh,Sri Sathya Sai,2025-03,22,22,8
Andhra Pradesh,Sri Sathya Sai,2025-04,12,12,4
Andhra Pradesh,Sri Sathya Sai,2025-05,24,24,8
